season,round,event_date,event_name,country,location,event_format,driver,driver_number,team,grid_position,finish_position,points,status,winner,podium
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,VET,5,Ferrari,3.0,1.0,25.0,Finished,1,1
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,HAM,44,Mercedes,1.0,2.0,18.0,Finished,0,1
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,RAI,7,Ferrari,2.0,3.0,15.0,Finished,0,1
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,RIC,3,Red Bull,8.0,4.0,12.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,ALO,14,McLaren,10.0,5.0,10.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,VER,3,Red Bull,4.0,6.0,8.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,HUL,27,Renault,7.0,7.0,6.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,BOT,77,Mercedes,15.0,8.0,4.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,VAN,2,McLaren,11.0,9.0,2.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,SAI,55,Renault,9.0,10.0,1.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,PER,11,Force India,12.0,11.0,0.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,OCO,31,Force India,14.0,12.0,0.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,LEC,16,Sauber,18.0,13.0,0.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,STR,18,Williams,13.0,14.0,0.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,HAR,28,Toro Rosso,16.0,15.0,0.0,+1 Lap,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,GRO,8,Haas F1 Team,6.0,16.0,0.0,Wheel,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,MAG,20,Haas F1 Team,5.0,17.0,0.0,Wheel,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,GAS,10,Toro Rosso,20.0,18.0,0.0,Engine,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,ERI,9,Sauber,17.0,19.0,0.0,Steering,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,SIR,35,Williams,19.0,20.0,0.0,Brakes,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,VET,5,Ferrari,1.0,1.0,25.0,Finished,1,1
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,BOT,77,Mercedes,3.0,2.0,18.0,Finished,0,1
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,HAM,44,Mercedes,9.0,3.0,15.0,Finished,0,1
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,GAS,10,Toro Rosso,5.0,4.0,12.0,Finished,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,MAG,20,Haas F1 Team,6.0,5.0,10.0,Finished,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,HUL,27,Renault,7.0,6.0,8.0,Finished,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,ALO,14,McLaren,13.0,7.0,6.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,VAN,2,McLaren,14.0,8.0,4.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,ERI,9,Sauber,17.0,9.0,2.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,OCO,31,Force India,8.0,10.0,1.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,SAI,55,Renault,10.0,11.0,0.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,LEC,16,Sauber,19.0,12.0,0.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,GRO,8,Haas F1 Team,16.0,13.0,0.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,STR,18,Williams,20.0,14.0,0.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,SIR,35,Williams,18.0,15.0,0.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,PER,11,Force India,12.0,16.0,0.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,HAR,28,Toro Rosso,11.0,17.0,0.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,RAI,7,Ferrari,2.0,18.0,0.0,Wheel,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,VER,3,Red Bull,15.0,19.0,0.0,Puncture,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,RIC,3,Red Bull,4.0,20.0,0.0,Electrical,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,RIC,3,Red Bull,6.0,1.0,25.0,Finished,1,1
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,BOT,77,Mercedes,3.0,2.0,18.0,Finished,0,1
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,RAI,7,Ferrari,2.0,3.0,15.0,Finished,0,1
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,HAM,44,Mercedes,4.0,4.0,12.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,VER,3,Red Bull,5.0,5.0,10.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,HUL,27,Renault,7.0,6.0,8.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,ALO,14,McLaren,13.0,7.0,6.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,VET,5,Ferrari,1.0,8.0,4.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,SAI,55,Renault,9.0,9.0,2.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,MAG,20,Haas F1 Team,11.0,10.0,1.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,OCO,31,Force India,12.0,11.0,0.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,PER,11,Force India,8.0,12.0,0.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,VAN,2,McLaren,14.0,13.0,0.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,STR,18,Williams,18.0,14.0,0.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,SIR,35,Williams,16.0,15.0,0.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,ERI,9,Sauber,20.0,16.0,0.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,GRO,8,Haas F1 Team,10.0,17.0,0.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,GAS,10,Toro Rosso,17.0,18.0,0.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,LEC,16,Sauber,19.0,19.0,0.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,HAR,28,Toro Rosso,15.0,20.0,0.0,Collision damage,0,0
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,HAM,44,Mercedes,2.0,1.0,25.0,Finished,1,1
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,RAI,7,Ferrari,6.0,2.0,18.0,Finished,0,1
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,PER,11,Force India,8.0,3.0,15.0,Finished,0,1
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,VET,5,Ferrari,1.0,4.0,12.0,Finished,0,0
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,SAI,55,Renault,9.0,5.0,10.0,Finished,0,0
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,LEC,16,Sauber,13.0,6.0,8.0,Finished,0,0
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,ALO,14,McLaren,12.0,7.0,6.0,Finished,0,0
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,STR,18,Williams,10.0,8.0,4.0,Finished,0,0
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,VAN,2,McLaren,16.0,9.0,2.0,Finished,0,0
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,HAR,28,Toro Rosso,19.0,10.0,1.0,Finished,0,0
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,ERI,9,Sauber,18.0,11.0,0.0,Finished,0,0
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,GAS,10,Toro Rosso,17.0,12.0,0.0,Finished,0,0
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,MAG,20,Haas F1 Team,15.0,13.0,0.0,Finished,0,0
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,BOT,77,Mercedes,3.0,14.0,0.0,Puncture,0,0
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,GRO,8,Haas F1 Team,20.0,15.0,0.0,Accident,0,0
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,VER,3,Red Bull,5.0,16.0,0.0,Collision,0,0
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,RIC,3,Red Bull,4.0,17.0,0.0,Collision,0,0
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,HUL,27,Renault,14.0,18.0,0.0,Accident,0,0
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,OCO,31,Force India,7.0,19.0,0.0,Collision,0,0
2018,4,2018-04-29,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,SIR,35,Williams,11.0,20.0,0.0,Collision,0,0
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,HAM,44,Mercedes,1.0,1.0,25.0,Finished,1,1
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,BOT,77,Mercedes,2.0,2.0,18.0,Finished,0,1
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,VER,3,Red Bull,5.0,3.0,15.0,Finished,0,1
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,VET,5,Ferrari,3.0,4.0,12.0,Finished,0,0
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,RIC,3,Red Bull,6.0,5.0,10.0,Finished,0,0
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,MAG,20,Haas F1 Team,7.0,6.0,8.0,+1 Lap,0,0
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,SAI,55,Renault,9.0,7.0,6.0,+1 Lap,0,0
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,ALO,14,McLaren,8.0,8.0,4.0,+1 Lap,0,0
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,PER,11,Force India,15.0,9.0,2.0,+2 Laps,0,0
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,LEC,16,Sauber,14.0,10.0,1.0,+2 Laps,0,0
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,STR,18,Williams,18.0,11.0,0.0,+2 Laps,0,0
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,HAR,28,Toro Rosso,20.0,12.0,0.0,+2 Laps,0,0
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,ERI,9,Sauber,17.0,13.0,0.0,+2 Laps,0,0
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,SIR,35,Williams,19.0,14.0,0.0,+3 Laps,0,0
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,VAN,2,McLaren,11.0,15.0,0.0,Gearbox,0,0
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,OCO,31,Force India,13.0,16.0,0.0,Oil leak,0,0
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,RAI,7,Ferrari,4.0,17.0,0.0,Turbo,0,0
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,GRO,8,Haas F1 Team,10.0,18.0,0.0,Collision,0,0
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,GAS,10,Toro Rosso,12.0,19.0,0.0,Collision,0,0
2018,5,2018-05-13,Spanish Grand Prix,Spain,Barcelona,conventional,HUL,27,Renault,16.0,20.0,0.0,Collision,0,0
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,BOT,77,Mercedes,2.0,1.0,26.0,Finished,1,1
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,HAM,44,Mercedes,1.0,2.0,18.0,Finished,0,1
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,VER,3,Red Bull,4.0,3.0,15.0,Finished,0,1
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,VET,5,Ferrari,3.0,4.0,12.0,Finished,0,0
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,LEC,16,Ferrari,5.0,5.0,10.0,Finished,0,0
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,MAG,20,Haas F1 Team,7.0,6.0,8.0,Finished,0,0
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,HUL,27,Renault,11.0,7.0,6.0,+1 Lap,0,0
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,RAI,7,Alfa Romeo,9.0,8.0,4.0,+1 Lap,0,0
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,STR,18,Racing Point,16.0,9.0,2.0,+1 Lap,0,0
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,KVY,26,Toro Rosso,15.0,10.0,1.0,+1 Lap,0,0
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,GAS,10,Red Bull,17.0,11.0,0.0,+1 Lap,0,0
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,NOR,1,McLaren,8.0,12.0,0.0,+1 Lap,0,0
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,PER,11,Racing Point,10.0,13.0,0.0,+1 Lap,0,0
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,ALB,23,Toro Rosso,13.0,14.0,0.0,+1 Lap,0,0
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,GIO,99,Alfa Romeo,14.0,15.0,0.0,+1 Lap,0,0
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,RUS,63,Williams,19.0,16.0,0.0,+2 Laps,0,0
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,KUB,88,Williams,20.0,17.0,0.0,+3 Laps,0,0
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,GRO,8,Haas F1 Team,6.0,18.0,0.0,Wheel,0,0
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,RIC,3,Renault,12.0,19.0,0.0,Damage,0,0
2019,1,2019-03-17,Australian Grand Prix,Australia,Melbourne,conventional,SAI,55,McLaren,18.0,20.0,0.0,Engine,0,0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,HAM,44,Mercedes,3.0,1.0,25.0,Finished,1,1
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,BOT,77,Mercedes,4.0,2.0,18.0,Finished,0,1
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,LEC,16,Ferrari,1.0,3.0,16.0,Finished,0,1
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,VER,3,Red Bull,5.0,4.0,12.0,Finished,0,0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,VET,5,Ferrari,2.0,5.0,10.0,Finished,0,0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,NOR,1,McLaren,9.0,6.0,8.0,Finished,0,0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,RAI,7,Alfa Romeo,8.0,7.0,6.0,Finished,0,0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,GAS,10,Red Bull,13.0,8.0,4.0,Finished,0,0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,ALB,23,Toro Rosso,12.0,9.0,2.0,Finished,0,0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,PER,11,Racing Point,14.0,10.0,1.0,Finished,0,0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,GIO,99,Alfa Romeo,16.0,11.0,0.0,Finished,0,0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,KVY,26,Toro Rosso,15.0,12.0,0.0,+1 Lap,0,0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,MAG,20,Haas F1 Team,6.0,13.0,0.0,+1 Lap,0,0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,STR,18,Racing Point,18.0,14.0,0.0,+1 Lap,0,0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,RUS,63,Williams,19.0,15.0,0.0,+1 Lap,0,0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,KUB,88,Williams,20.0,16.0,0.0,+2 Laps,0,0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,HUL,27,Renault,17.0,17.0,0.0,Engine,0,0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,RIC,3,Renault,10.0,18.0,0.0,Out of fuel,0,0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,SAI,55,McLaren,7.0,19.0,0.0,Collision damage,0,0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain,Sakhir,conventional,GRO,8,Haas F1 Team,11.0,20.0,0.0,Retired,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,HAM,44,Mercedes,2.0,1.0,25.0,Finished,1,1
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,BOT,77,Mercedes,1.0,2.0,18.0,Finished,0,1
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,VET,5,Ferrari,3.0,3.0,15.0,Finished,0,1
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,VER,3,Red Bull,5.0,4.0,12.0,Finished,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,LEC,16,Ferrari,4.0,5.0,10.0,Finished,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,GAS,10,Red Bull,6.0,6.0,9.0,Finished,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,RIC,3,Renault,7.0,7.0,6.0,+1 Lap,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,PER,11,Racing Point,12.0,8.0,4.0,+1 Lap,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,RAI,7,Alfa Romeo,13.0,9.0,2.0,+1 Lap,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,ALB,23,Toro Rosso,0.0,10.0,1.0,+1 Lap,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,GRO,8,Haas F1 Team,10.0,11.0,0.0,+1 Lap,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,STR,18,Racing Point,16.0,12.0,0.0,+1 Lap,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,MAG,20,Haas F1 Team,9.0,13.0,0.0,+1 Lap,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,SAI,55,McLaren,14.0,14.0,0.0,+1 Lap,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,GIO,99,Alfa Romeo,19.0,15.0,0.0,+1 Lap,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,RUS,63,Williams,17.0,16.0,0.0,+2 Laps,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,KUB,88,Williams,18.0,17.0,0.0,+2 Laps,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,NOR,1,McLaren,15.0,18.0,0.0,Collision,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,KVY,26,Toro Rosso,11.0,19.0,0.0,Collision,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,HUL,27,Renault,8.0,20.0,0.0,Power Unit,0,0
